Quarter_Year,Revenue
Q1 2000,4532976
Q2 2000,5097939
Q3 2000,4915785
Q4 2000,4784580
Q1 2001,4417662
Q2 2001,4648239
Q3 2001,4096978
Q4 2001,2924490
Q1 2002,3195591
Q2 2002,3706075
Q3 2002,3644641
Q4 2002,3369294
Q1 2003,3107212
Q2 2003,3034759
Q3 2003,3757353
Q4 2003,3498405
Q1 2004,3625990
Q2 2004,3962484
Q3 2004,4225317
Q4 2004,3887378
Q1 2005,3916450
Q2 2005,4373958
Q3 2005,4647980
Q4 2005,4365766
Q1 2006,4459678
Q2 2006,5111033
Q3 2006,5175873
Q4 2006,4587275
Q1 2007,4374154
Q2 2007,5196411
Q3 2007,5504770
Q4 2007,4973759
Q1 2008,4711208
Q2 2008,5370526
Q3 2008,5606838
Q4 2008,4548676
Q1 2009,3693574
Q2 2009,4020052
Q3 2009,4435164
Q4 2009,4210448
Q1 2010,4243006
Q2 2010,5162802
Q3 2010,5395978
Q4 2010,4880534
Q1 2011,4675619
Q2 2011,5570539
Q3 2011,5856265
Q4 2011,5052795
Q1 2012,8603978
Q2 2012,9940572
Q3 2012,9912178
Q4 2012,8703439
Q1 2013,8723110
Q2 2013,10003024
Q3 2013,10229894
Q4 2013,9331106
Q1 2014,8696283
Q2 2014,10328256
Q3 2014,10563671
Q4 2014,9312309
Q1 2015,8608479
Q2 2015,9913459
Q3 2015,10305905
Q4 2015,9036289
Q1 2016,8195291
Q2 2016,9395665
Q3 2016,9913185
Q4 2016,9051740
Q1 2017,8420115
Q2 2017,9999723
Q3 2017,9877966
Q4 2017,9438506
Q1 2018,9031936
Q2 2018,10776602
Q3 2018,11003046
Q4 2018,10491647
Q1 2019,9589287
Q2 2019,11401369
Q3 2019,11380482
Q4 2019,10887402
